A22J,牧場物語 ふたごの村+
KC2J,魔神少女 -Chronicle 2D ACT-
KC2P,The Legend of Dark Witch
KC2W,魔神少女 -Chronicle 2D ACT-(繁體中文版)
KC7J,マル合格！　ケアマネジャー試験　平成27年度版
KCAE,BOXBOXBOY!
KCAJ,Hako Boy! Mouhito Hako
KCAP,BOXBOXBOY!
KCCE,Cube Creator 3D
KCCJ,キューブクリエイター3D
KCCP,Cube Creator 3D
KCDE,Punch Club
KCDP,Punch Club
KCFA,Pokemon Rumble World
KCGE,Crollors Game Pack
KCGP,Crollors Game Pack
KCKE,BYE-BYE BOXBOY!
KCKP,BYE-BYE BOXBOY!
KCME,City Mysteries
KCNE,Chicken Wiggle
KCNP,Chicken Wiggle
KCPE,Mes Comptines
KCPF,Mes Comptines
KCUE,Candy, Please!
KCUP,Candy, Please!
KCWP,Christmas Wonderland 4
KCXE,Castle Conqueror EX
KCXP,Castle Conqueror EX
KD2J,がっき で あそぼ♪ たのしい どうよう(2)
KD3J,がっき で あそぼ♪ たのしい どうよう(3)
KD5J,どこぽんちょいす 『モンスターハンター』プレイ漫画 モンでき。 Vol.1（5巻パック）
KD6J,どこぽんちょいす モンスターハンター 閃光の狩人Vol.2（6〜10巻パック）
KD7E,Drancia Saga
KD7P,Drancia Saga
KD8E,80'S OVERDRIVE
KD8P,80'S OVERDRIVE
KD9E,Dragon Sinker
KD9P,Dragon Sinker
KDAP,Power Disc Slam
KDCJ,プチノベル「収斂の十二月」
KDDE,Dementium Remastered
KDDP,Dementium Remastered
KDEE,Collide-a-Ball
KDEJ,出会い玉
KDEP,Collide-a-Ball
KDFE,Dragon Fantasy: The Black Tome of Ice
KDGE,Kingdom's Item Shop
KDGJ,王国の道具屋さん
KDGP,Kingdom's Item Shop
KDJE,Frontier Days Founding Pioneers
KDJK,대개척시대 도시를 만들자
KDJP,Frontier Days Founding Pioneers
KDKE,Demon King Box
KDKP,Demon King Box
KDMJ,6×1≠UNLIMITED？
KDNJ,どこぽんちょいす 信長協奏曲 Vol.1　1〜10巻パック
KDPJ,どこぽんちょいす 蟲師 1〜10巻パック
KDRE,DOOORS
KDRJ,DOOORS
KDSJ,脱出アドベンチャー 終焉の黒い霧
KDTJ,＠SIMPLE DLシリーズ Vol.34　THE 密室からの脱出 〜ふしぎ発見！博物館編〜
KDUE,Infinite Dunamis
KDUP,Infinite Dunamis
KDVE,Dragon Fantasy: The Volumes of Westeria
KDXE,Shift DX
KDXP,Shift DX
KDYJ,脱出アドベンチャー 呪いの数列
KDZE,Drop Zone - Under Fire
KEAJ,エルミナージュ異聞　アメノミハシラ・怪
KEBJ,イルベロデリンジャ
KECE,Symphony of Eternity
KECP,Symphony of Eternity
KELE,Elminage Original
KEPE,The Legend of Dark Witch 3 Wisdom and Lunacy
KEPP,The Legend of Dark Witch 3
KEQE,Elliot Quest Update Ver. 1.4
KEQP,Elliot Quest
KEUJ,エルミナージュゴシック　３Ｄ ＲＥＭＩＸ 〜ウルム・ザキールと闇の儀式〜
KEWE,Epic Word Search Collection
KEWP,Epic Word Search Collection
KEXE,Epic Word Search Collection 2
KEXP,Epic Word Search Collection 2
KEYE,Epic Word Search Holiday Special
KEYP,Epic Word Search Holiday Special
KFAJ,プチノベル「祝祭の八月」
KFGE,Monster Hunter 4 Ultimate Special Demo
KFGP,Monster Hunter 4 Ultimate Special Demo
KFJE,Mysterious Stars 3D: Road To Idol
KFJP,Mysterious Stars 3D: Road To Idol
KFKJ,ブレイブリーデフォルト　たっぷり無料で遊べる版
KFLE,IRONFALL Invasion
KFLJ,IRONFALL -Invasion-
KFLP,IRONFALL Invasion
KFME,My Life on a Farm 3D
KFNE,Adventure Labyrinth Story
KFNP,Adventure Labyrinth Story
KFPE,Fantasy Pirates
KFPP,Fantasy Pirates
KFRE,Fairune
KFRJ,フェアルーン
KFRP,Fairune
KFRW,Fairune(繁體中文版)
KFSE,Pong Pong Candy
KFUE,Fairune2
KFUP,Fairune2
KFVE,Hideaways: Foggy Valley
KFXE,Mysterious Stars 3D: A Fairy Tale Update Version 1.1.0
KFXP,Mysterious Stars 3D: A Fairy Tale: Update
KFYE,Dan McFox: Head Hunter
KFYP,Dan McFox: Head Hunter
KG4J,マル合格！　介護福祉士試験　平成27年度版
KG5E,Geki Yaba Runner Deluxe
KG5P,Geki Yaba Runner Deluxe
KG6J,Ｏｈ！ガッチマン 究極のω珍宝とモミゲー２６
KG7J,プチノベル「神学の七月」
KG9E,Parascientific Escape - Crossing at the Farthest Horizon
KG9P,Parascientific Escape Crossing at the Farthest Horizon
KGBE,Azure Striker GUNVOLT 2 Update Ver. 1.2
KGBP,Azure Striker GUNVOLT 2: Update 1.2
KGCJ,みんなのデコレーションカード
KGDE,Gourmet Dream
KGDJ,グルメドリーム
KGDP,Gourmet Dream
KGEE,Parascientific Escape  - Gear Detective
KGEJ,超科学脱出　ギア・ディテクティブ
KGEP,Parascientific Escape   - Gear Detective
KGFJ,マル合格！　介護福祉士試験　平成26年度版
KGGE,Glory of Generals
KGGP,Glory of Generals
KGHE,3D Gunstar Heroes
KGHJ,３D ガンスターヒーローズ
KGHP,3D Gunstar Heroes
KGKJ,ぼくらの学校戦争　〜痛快アドベンチャー〜
KGLE,Mini Golf Resort
KGME,Gothic Masquerade
KGNJ,ぐ〜にゃん
KGPE,GLORY OF GENERALS: THE PACIFIC
KGPP,Glory of Generals The Pacific
KGSJ,マル合格！　行政書士試験　平成26年度版
KGTP,Mini Golf Resort
KGVE,Gunslugs 2
KGVP,Gunslugs 2
KGWE,Gunslugs
KGWP,Gunslugs
KGXE,Digger Dan DX
KGXP,Digger Dan DX
KH2P,snake3d
KHBE,Heart Beaten
KHBP,Heart Beaten
KHDJ,プチノベル「破談の十月」
KHKJ,@SIMPLE　DLシリーズ Vol.35  THE　呪いの廃校舎　〜呪いの仮面と双子の少女〜
KHME,The Magic Hammer
KHMP,The Magic Hammer
KHNJ,ひっぱり〜ニャ！
KHSE,BRAVELY SECOND: END LAYER DEMO
KHSK,BRAVELY SECOND  무료로 즐기는 삼총사편
KHSZ,Bravely Second: End Layer Demo
KHTE,Petit Novel series - Harvest December
KHTP,Petit Novel series - Harvest December
KHVE,Horse Vet 3D
KHYJ,新ひゅ〜ストン
KHZE,Hazumi
KHZJ,ハネカエリーノ
KHZP,Hazumi
KJ3E,Japanese Rail Sim 3D Journey in suburbs #1 Vol. 3
KJ4E,Japanese Rail Sim 3D  Journey in suburbs #1 Vol. 4
KJCE,Journey to Kreisia
KJCP,Journey to Kreisia
KJDJ,動物戦隊ジュウオウジャー：バトルキューブパズル
KJEE,Creeping Terror
KJEP,Creeping Terror
KJKJ,@SIMPLE DLシリーズ Vol.38 THE アイテム探し 〜女子高生探偵 真実の事件簿〜
KJNJ,イジン爆闘！！ウデジマン
KJPE,Japanese Rail Sim 3D Journey in suburbs #1 Vol. 2
KJSJ,@SIMPLE DLシリーズ Vol.37 THE 巨人走
KKAE,Maze Breaker
KKAP,Maze Breaker
KKCE,Kutar Concert Staff
KKCP,Kutar Concert Staff
KKEE,Kutar End Credits
KKEP,Kutar End Credits
KKFE,Kung Fu FIGHT!
KKFP,Kung Fu FIGHT!
KKKE,Kutar Powder Factory
KKKP,Kutar Powder Factory
KKNE,Kutar Jump Rope
KKNP,Kutar Jump Rope
KKQE,Kutar Quiz
KKQP,Kutar Quiz
KKRE,Kutar Ski Lift
KKRP,Kutar Ski Lift
KKSE,Kutar Burger Factory
KKSP,Kutar Burger Factory
KKTE,Kutar Apple
KKTP,Kutar Apple
KKUE,Kutar Tube Rider
KKUP,Kutar Tube Rider
KKVE,Kutar Magic Ball
KKVP,Kutar Magic Ball
KL8E,Plantera
KL8P,Plantera
KLKJ,キルカ・ドライブ
KLLE,Olli Olli
KLLP,Olli Olli
KLNE,Justice Chronicles
KLNP,Justice Chronicles
KLPJ,マル合格！　簿記3級仕訳ドリル
KLQJ,マル合格！　簿記2級仕訳ドリル 商業簿記・工業簿記
KLRJ,マル合格！　社労士試験　平成27年度版
KLSJ,マル合格！　医療事務　診療報酬請求事務能力認定試験（医科）　
KLTP,Nintendo Anime Channel
KLUJ,マル合格！　FP3級 平成26-27年度版
KLVJ,マル合格！　FP2級 平成26-27年度版
KMCJ,ジャンプ勇者
KMDP,MindFeud
KMEE,Music On: Electric Guitar
KMEP,Music on - Electric Guitar
KMGE,Mighty Gunvolt
KMGJ,マイティガンヴォルト
KMGP,Mighty Gunvolt
KMJE,The Legend of Dark Witch 2 Update Ver. 1.2
KMJJ,魔神少女 エピソード２ -願いへの代価-
KMJP,The Legend of Dark Witch 2:  Update
KMKE,Musicverse: Electronic Keyboard
KMKP,Musicverse: Electronic Keyboard
KMME,Mutant Mudds Super Challenge
KMMP,Mutant Mudds Super Challenge
KMPE,Me & My Pets 3D
KMQJ,モノカゲクエスト
KMRE,Gurumin 3D:  A Monstrous Adventure
KMRP,Gurumin 3D: A Monstrous Adventure
KMSE,My First Songs
KMSP,My First Songs
KMTE,Mercenaries Saga 2
KMTJ,マーセナリーズサーガ２
KMTP,Mercenaries Saga 2
KMUJ,昆虫モンスター ライト スーパーバトル
KMVE,Chase Cold Case Investigations ~Distant Memories~
KMVP,Chase-Cold Case Investigations ~Distant Memories~
KMZE,KAMI
KMZJ,KAMI
KMZP,KAMI
KNAE,Angry Video Game Nerd Adventures
KNAP,Angry Video Game Nerd Adventures
KNDE,Crystareino
KNDP,Crystareino
KNFF,Nisekoi Manga Vol.1
KNGJ,激投戦士 ナゲルンダー
KNKJ,ぬいぐるみのケーキ屋さん ミニ 魔法のパティシエール
KNLE,Noitu Love: Devolution
KNLP,Noitu Love: Devolution
KNSE,The Battle Cats POP!
KNSJ,とびだす！にゃんこ大戦争
KNSK,냥코대전쟁 POP!
KNSP,The Battle Cats POP!
KP2J,どこぽんちょいす Fate／kaleid liner プリズマ☆イリヤ 1〜2巻+おまけパック
KP3E,PET INN 3D
KP6E,PICROSS e6
KP6J,ピクロスｅ６
KP6P,Picross e6
KP7J,マル合格！　ITパスポート試験 平成27年度版
KP9E,Ping Pong Trick Shot
KP9J,ピンポントリックショット
KP9P,Ping Pong Trick Shot
KPAE,PICROSS e7
KPAJ,Picross e7
KPAP,PICROSS e7
KPBE,PUZZLEBOX setup
KPBJ,パズルボトル
KPBP,Puzzle Box Setup
KPCE,Mini Mario & Friends amiibo Challenge
KPCP,Mini Mario & Friends: amiibo Challenge
KPDE,The Hand of Panda
KPEE,My Zoo Vet Practice 3D
KPFE,50 Pinch Barrage!!
KPFJ,ピンチ５０連発！！
KPGJ,たたかえ ぶたさん
KPGP,Psycho Pigs
KPJE,Pixel Paint
KPJP,Pixel Paint
KPKJ,Mitsukete! Ojipokkuru+
KPME,Puzzle & Dragons Z + Super Mario Bros. Edition Demo
KPMK,퍼즐앤드래곤 Z + 퍼즐앤드래곤 슈퍼 마리오브라더스 에디션 체험판
KPMP,Puzzle & Dragons Z + Puzzle & Dragons: Super Mario Bros. Edition
KPNJ,プチコンマガジン創刊号
KPQE,Picross e5
KPQJ,ピクロスｅ５
KPQP,PICROSS e5
KPRE,Proun+
KPRJ,ループラインレーシング
KPRP,Proun+
KPSE,Painting Workshop
KPTE,My Pet School 3D
KPVE,Outback Pet Rescue 3D
KPWE,Ping Pong Trick Shot 2
KPWJ,ピンポントリックショット2
KPZJ,忍びのPAZURU
KQ6E,My Horse 3D - Best Friends
KQDE,Quest of Dungeons
KQDP,Quest of Dungeons
KQME,Puzzle Labyrinth
KQMJ,謎解きメイズからの脱出
KQMP,Puzzle Labyrinth
KQPE,Quiet, Please !
KQPP,Quiet, Please!
KQRJ,Q
KQSE,Ambition of the Slimes
KQSP,Ambition of the Slimes
KR8E,Legna Tactica
KR8P,Legna Tactica
KR9E,Drone Fight
KR9P,Drone Fight
KRBE,Ninja Usagimaru - The Mysterious Karakuri Castle
KRBJ,疾風のうさぎ丸 -謎のからくり城-
KRBP,Ninja Usagimaru - The Mysterious Karakuri Castle
KRDJ,＠SIMPLE DLシリーズ Vol.31　THE 密室からの脱出 〜延長必至のカラオケ編〜
KRHE,Radiohammer
KRHJ,ラジオハンマー
KRHP,Radiohammer
KRJE,Swapdoodle
KRJP,Swapdoodle
KRKJ,カラオケJOYSOUND
KRLE,Dangerous Road
KRMJ,@SIMPLE DLシリーズ Vol.33 THE 熱血!炎のラーメン屋
KRNE,I've Got to Run - Complete Edition!
KRPE,Gotta Protectors
KRPJ,みんなで まもって騎士 姫のトキメキらぷそでぃ
KRRE,Mononoke Forest
KRRJ,コロロケの森 ぽいっと
KRRP,Mononoke Forest
KRSJ,どこぽんちょいす らき☆すた Vol.1 1〜6巻+おまけパック
KRTJ,キャラペットライト　つくって！そだてて！キャラクター小学校　
KRUE,Rytmik Ultimate
KRUP,Rytmik Ultimate
KRWE,RPG Maker Player
KRWP,RPG Maker Player
KRXA,Pokémon Shuffle
KRYJ,どこぽんちょいす ケロロ軍曹 Vol.1 1〜5巻パック
KS3J,＠SIMPLE DLシリーズ Vol.36　THE 密室からの脱出〜旅は道連れ！鉄道編〜
KS4E,Sssnakes
KS4P,Sssnakes
KS7E,Mercenaries Saga 3
KS7P,Mercenaries Saga 3
KS8J,マル合格！　社会福祉士試験　平成26年度版
KS9J,＠SIMPLE DLシリーズ Vol.39　THE 密室からの脱出 〜脳を鍛えるスポーツジム編〜
KSAJ,手裏剣戦隊ニンニンジャー ゲームでワッショイ!!
KSBE,The Legend of Kusakari
KSBJ,シバ・カーリーの伝説
KSBP,The Legend of Kusakari
KSDJ,新宿ダンジョン
KSEE,Secret Empires of the Ancient World
KSFE,Siesta Fiesta
KSFP,Siesta Fiesta
KSGE,Scarygirl Illustration Kit
KSHJ,ぐるたん 中学英単語
KSJE,Secret Journeys - Cities of the World
KSKJ,ぐるたん 高校英単語
KSLE,Space Lift Danger Panic!
KSLP,Space Lift Danger Panic!
KSME,Sumico
KSMP,Sumico
KSNE,3D Sonic The Hedgehog 2
KSNJ,3D ソニック・ザ・ヘッジホッグ２
KSNP,3D Sonic The Hedgehog 2
KSPJ,プチノベル「子宮の九月」
KSRE,3D Streets of Rage 2
KSRJ,3D ベア・ナックルII 死闘への鎮魂歌
KSRP,3D Streets of Rage 2
KSTJ,サンゴクストーリーズ天
KSVE,Severed
KSVP,Severed
KSZE,Of Mice And Sand
KSZK,사막의 서생결단!
KSZP,Of Mice And Sand
KT2E,Toki Tori 3D
KT2P,Toki Tori 3D
KT3E,Touch Battle Tank - Tag Combat -
KT3P,TOUCH BATTLE TANK - TAG COMBAT -
KT6E,Kid Tripp
KT6P,Kid Tripp
KT8E,Lionel City Builder 3D: Rise of the Rails
KT8P,Lionel City Builder 3D: Rise of the Rails
KTAE,Tangram Attack
KTBJ,タッチバトル戦車3D-3
KTCE,Anime Workshop
KTCP,Anime Workshop
KTHE,URBAN TRIAL FREESTYLE 2
KTHP,Urban Trial Freestyle 2: Update
KTLJ,マル合格！　宅建試験　平成27年度版
KTME,Toys vs Monsters
KTMJ,Toys VS Monsters
KTMP,Toys Vs Monsters
KTNE,Mini Sports Collection
KTNP,Mini Sports Collection
KTPE,Tappingo 2
KTPP,Tappingo 2
KTRJ,チャリ走 DX3 タイムライダー
KTTE,Titan Attacks! Update Ver. 1.1
KTTP,Titan Attacks! - Update
KTWE,Tank Troopers
KTWP,Tank Troopers
KTYE,Timberman
KTYP,Timberman
KU2J,どこぽんちょいす 隣のあたし 1〜10巻パック
KU3J,どこぽんちょいす しゅごキャラ! 1〜12巻パック
KU4J,どこぽんちょいす 絶体絶命 でんぢゃらすじーさん Vol.2 11〜20巻パック
KU5J,どこぽんちょいす 坂道のアポロン 1〜9巻パック
KU6J,どこぽんちょいす イナズマイレブン 1〜10巻パック
KU7J,どこぽんちょいす スーパーマリオくん Vol.1 1〜10巻パック
KUAJ,どこぽんちょいす あやかし緋扇 Vol.1 1〜6巻パック
KUBJ,どこぽんちょいす　モンスターハンター オラージュ　1〜4巻パック
KUCJ,どこぽんちょいす 神のみぞ知るセカイ Vol.1 1〜10巻パック
KUDJ,どこぽんちょいす 1年5組いきものがかり 1〜6巻パック
KUEJ,どこぽんちょいす 鬼灯の冷徹 Vol.1　1〜10巻パック
KUFJ,どこぽんちょいす オレ様キングダム Vol.1 1〜10巻パック
KUGJ,どこぽんちょいす あやかし緋扇 Vol.2 7〜12巻パック
KUHJ,どこぽんちょいす 神のみぞ知るセカイ Vol.2 11〜20巻パック
KUJJ,どこぽんちょいす 史上最強の弟子 ケンイチ Vol.1 1〜10巻パック
KUKJ,どこぽんちょいす 史上最強の弟子 ケンイチ Vol.2 11〜20巻パック
KULJ,どこぽんちょいす 史上最強の弟子 ケンイチ Vol.3 21〜30巻パック
KUMJ,どこぽんちょいす 史上最強の弟子 ケンイチ Vol.4 31〜40巻パック
KUNJ,どこぽんちょいす 史上最強の弟子 ケンイチ Vol.5 41〜50巻パック
KUPJ,どこぽんちょいす 山田くんと7人の魔女 Vol.1 1〜10巻パック
KUQJ,どこぽんちょいす FAIRY TAIL Vol.2 11〜20巻パック
KURJ,どこぽんちょいす 僕等がいた Vol.1 1〜8巻パック
KUSJ,どこぽんちょいす 僕等がいた Vol.2 9〜16巻パック
KUTJ,どこぽんちょいす FAIRY TAIL Vol.3 21〜30巻パック
KUUJ,どこぽんちょいす FAIRY TAIL Vol.4 31〜40巻パック
KUVJ,どこぽんちょいす ちはやふる Vol.2 11〜20巻パック
KUWJ,どこぽんちょいす BLACK BIRD Vol.1 1〜9巻パック
KUXJ,どこぽんちょいす BLACK BIRD Vol.2 10〜18巻パック
KUYJ,どこぽんちょいす 宇宙兄弟 Vol.1 1〜10巻パック
KUZJ,どこぽんちょいす 宇宙兄弟 Vol.2 11〜20巻パック
KV7J,どこぽんちょいす スーパーマリオくん Vol.2 11〜20巻パック
KVAP,Vacation Adventures - Park Ranger 2
KVBJ,シカクいアタマをマルくする。 マスター 国語・算数・社会・理科
KVCE,Squareboy vs Bullies: Arena Edition
KVCP,Squareboy vs Bullies: Arena Edition
KVDJ,シカクいアタマをマルくする。 エキスパート 漢字・計算・図形
KVEJ,シカクいアタマをマルくする。 ジュニア こくご・さんすう・しゃかい・りか・せいかつ
KVGE,Azure Striker Gunvolt: The Anime
KVGP,Azure Striker Gunvolt: The Anime
KVPE,Plain Video Poker
KVRE,RV-7 My Drone
KVRP,RV-7 My Drone
KVXE,Asdivine Cross
KVXP,Asdivine Cross
KW2E,Comic Workshop 2 Update Ver. 1.2
KW2J,コミック工房2
KW2P,Comic Workshop 2
KW3J,3D Power Drift
KW4E,SteamWorld Dig 2
KW4P,SteamWorld Dig 2
KW7J,どこぽんちょいす スーパーマリオくん　Vol.3　21〜30巻パック
KWAE,WordsUp! Academy
KWAP,WordsUp! Academy
KWBE,Word Search by POWGI
KWBP,Word Search by POWGI
KWCE,SubaraCity
KWCP,SubaraCity
KWDE,Woah Dave!
KWEE,Word Logic by POWGI
KWEP,Word Logic by POWGI
KWHE,Witch & Hero 2
KWHP,Witch & Hero 2
KWJE,Unlucky Mage
KWJP,Unlucky Mage
KWLE,Worcle Worlds
KWLP,Worcle Worlds
KWPE,Word Puzzles by POWGI
KWPP,Word Puzzles by POWGI: Update
KWSE,Comic Workshop
KWTE,Word Search 10K
KWTP,Word Search 10K
KX3E,Excave III : Tower of Destiny
KX3J,エクスケーブ 〜運命の夢幻塔編〜
KX3P,Excave III : Tower of Destiny
KX5J,ザ・ゲーム15　Vol2
KX7J,どこぽんちょいす スーパーマリオくん  Vol.4  31〜40巻パック
KXCE,Smash Controller
KXCP,Smash Controller
KXEE,Xeodrifter
KXEP,Xeodrifter
KXSJ,大合奏！バンドブラザーズＰ　デビュー
KXXJ,Club Nintendo Picross Plus
KYAJ,ぼくらの七日間戦争 〜友情アドベンチャー〜
KYBE,Sudoku Party
KYBP,Sudoku Party
KYPJ,Ultimate Poker & BlackJack
KZ2J,どこぽんちょいす 2．5次元彼氏（1〜8巻パック）
KZ3J,どこぽんちょいす DRAGON BALL カラー版 魔人ブウ編
KZ4J,どこぽんちょいす To LOVEる―とらぶる― カラー版Vol.1
KZ5J,どこぽんちょいす To LOVEる―とらぶる― カラー版Vol.2
KZ6J,どこぽんちょいす 王子とヒーロー（1〜4巻パック）
KZ7J,どこぽんちょいす FAIRY TAIL Vol.5（41〜50巻パック）
KZ8J,どこぽんちょいす ジミコイ（1〜4巻パック）
KZ9J,どこぽんちょいす 絶叫学級 Vol.2（11〜20巻パック）
KZAJ,Touzoku to 1000-Biki no Pokémon
KZBJ,Nikki no Tabisuru Quiz
KZPE,PixelMaker
KZPP,PixelMaker
KZSE,Ice Station Z
KZSP,Ice Station Z
KZVE,Blaster Master Zero Update Ver. 1.4.1
KZVP,Blaster Master Zero: Update
KZZE,MONSTER HUNTER STORIES Demo
KZZP,Monster Hunter Stories Demo
L31E,Kung Tutu
L5WE,Bricks Pinball
L5WP,Bricks Pinball
L74E,JACK AND JANE
L7FP,Tinboy
LABE,Fatal Fracture
LABP,Fatal Fracture
LAPE,Little Adventure on the Prairie
LAPP,Little Adventure on the Prairie
LBPE,Block-a-Pix Color
LBPP,Block-a-Pix Colour
LDRE,Dragon Lapis
LDRJ,ドラゴンラピス
LDRP,Dragon Lapis
LDWE,Dragon's Wrath
LFDE,Fat Dragons
LFDP,Fat Dragons
LMBE,Moonbound
LMBP,Moonbound
LP9J,PICROSS e9
LPBE,Pinball Breaker
LPBP,Pinball Breaker
LPCE,Link-a-Pix Color Update Ver. 1.01
LPCP,Link-a-Pix Colour: Update
LPDE,PDI Check
LPFE,Phil's Epic Fill-a-Pix Adventure
LPFJ,モザイクアート Fill-a-Pix
LPFP,Phil's Epic Fill-a-Pix Adventure
LQPE,Quarters, Please!
LQPP,Quarters, Please!
LR3E,RTO 3
LR3P,RTO 3
LRSE,Rainbow Snake
LRSP,Rainbow Snake
LSAE,Azure Snake
LSAP,Azure Snake
LSCE,Sanrio characters Picross
LSCJ,サンリオキャラクターズピクロス
LSCP,Sanrio characters Picross
LSGE,SPACE DEFENDER
LSGP,SPACE DEFENDER BATTLE INFINITY
LSTE,Squarcat
LSTP,Squarcat
LTEE,CITY SKATERS
LTTE,Tank Onslaught
LTTP,Tank Onslaught
MA2P,Breakthru Films - Fat Hamster
MA6P,The Beet Party - Episode 4 - UnderWaterMelon
MA8P,The 3D Machine Series - Episode 1
MA9P,The 3D Machine Series - Episode 2
MAAP,The 3D Machine
MABP,The Incredible Barbazan - Episode 2 - The Fire Juggler
MADP,The Incredible Barbazan - Episode 1 - The Cabinet of Fear
MAEP,The Incredible Barbazan - Episode 4 - The Knife Thrower
MAFP,The Incredible Barbazan - Episode 5 - Raging Bull
MAGP,The Incredible Barbazan - Episode 3 - The Human Cannonball 2
MAHP,The Incredible Barbazan - Episode 6 - Up Your Sleeve
MAJJ,ひつじのショーン3D 第1巻
MAKJ,ひつじのショーン3D 第2巻
MALJ,ひつじのショーン3D 第3巻
MAMP,The Beet Party - Episode 3 - Jurassic Fridge
MAQP,The Beet Party - Episode 2 - Beet Scratch
MAUP,Breakthru Films - Transformation
MAVP,Breakthru Films - Magical Dance
MAWP,Breakthru Films - Scarecrow
MAXP,Breakthru Films - Little Postman
MAYP,Breakthru Films - Papa's Boy
MAZP,Breakthru Films - Spirits of the Piano
MBAP,The 3D Machine Series - Episode 3
MBBP,The 3D Machine Series - Episode 4
MBCP,The 3D Machine Series - Episode 5
MBDJ,ひつじのショーン3D 第4巻
MBEJ,ひつじのショーン3D 第5巻
MBFP,The Beet Party - Episode 1 - Beet Poets
MBGP,The Beet Party - Episode 5 - Unidentified Flying Waffle
MBHP,The Beet Party - Episode 6 - Call Me Aneek Neek
MBJP,Shaun the Sheep - Episode 1 - 5
MBKP,Shaun the Sheep - Episode 6 - 10
MBLP,Shaun the Sheep - Episode 11 - 15
MBMP,Shaun the Sheep - Episode 1 - 15 + Making Of
MBSP,Treasures of the World
MBTJ,シュガー・ラッシュ 3D
MBUJ,ベイマックス 3D
MBXJ,カールじいさんの空飛ぶ家 3D
NAAJ,トモダチコレクション 新生活 Mii引越しソフト
NABJ,レコチョク
NACE,Photos with Mario
NACJ,いっしょにフォト スーパーマリオ
NAEJ,ニコニコ
NAHA,Pokémon Omega Ruby and Alpha Sapphire - Special Demo Version
NAKP,Photos with Mario
NC6E,Tomodachi Life - Move-In Version
NC6P,Tomodachi Life: Welcome Version
NCGA,Pokémon Dream Radar
NCGJ,ポケモンARサーチャー
NLMA,Poke Transporter
NXCE,Super Smash Bros. Special Demo Version
NXCP,Super Smash Bros. Special Demo Version
PNAJ,グラディウス
PNDJ,エイリアンクラッシュ
PNQJ,THE 功夫
PPAJ,R-TYPE
SPDE,3D Visual Experience
SPNJ,12月20日(土)全国ロードショー ディズニー映画「ベイマックス」予告
UA2E,Street Fighter Alpha 2
UA5E,Mega Man X3
UA6E,Final Fight 2
UA7E,Final Fight 3
UAAE,Super Mario World
UABE,The Legend of Zelda: A Link to the Past
UACE,Super Metroid
UADE,Super Mario Kart
UAEE,EarthBound
UAFE,F-ZERO
UAGE,Donkey Kong Country
UAJE,Donkey Kong Country 2:  Diddy's Kong Quest
UAKE,Pilotwings
UALE,Super Punch-Out!!
UAME,Mega Man X
UANE,Mega Man 7
UAPE,Super Ghouls'n Ghosts
UAQE,Contra III The Alien Wars
UARE,Donkey Kong Country 3: Dixie Kong's Double Trouble
UASE,Super Street FighterⅡ: The New Challengers
UATE,Mega Man X2
UAUE,Super Castlevania IV
UAVE,The Legend of the Mystical Ninja
UAWE,Kirby's Dream Course
UAYE,Final Fight
UAZE,Street Fighter II Turbo: Hyper Fighting
UBAE,Breath of Fire
UBBE,Breath of Fire II
UBGP,Mario’s Super Picross
UBHE,Demon's Crest
UBRE,Castlevania Dracula X
BD3E,Minecraft: New Nintendo 3DS Edition
BD3P,Minecraft: New Nintendo 3DS  Edition Update Ver. 1.9
CAFJ,Newニンテンドー3DS専用ソフト『ゼノブレイド』
CAFP,Xenoblade Chronicles 3D
CFME,Fire Emblem Warriors
CFMP,Fire Emblem Warriors
UA2J,Street Fighter Zero 2
UA3J,Panel de Pon
UA4J,Fire Emblem - Seisen no Keifu
UA5J,Rockman X3
UA6J,Final Fight 2
UA7J,Final Fight Tough
UA8J,Romancing SaGa
UAAJ,Super Mario World
UABJ,Zelda no Densetsu - Kamigami no Triforce
UACJ,Super Metroid
UADJ,Super Mario Kart
UAEJ,Mother 2 - Gyiyg Strikes Back!
UAGJ,Donkey Kong Country
UAJJ,Super Donkey Kong 2 - Dixie & Diddy
UALJ,Super Punch-Out!!
UAMJ,Rockman X
UANJ,Rockman 7 - Shukumei no Taiketsu!
UAPJ,Chou Makaimura
UARJ,Super Donkey Kong 3 - Nazo no Krems Shima
UASJ,Super Street Fighter II - The New Challengers
UATJ,Rockman X2
UAUJ,Akumajo Dracula
UAVJ,Ganbare Goemon - Yukihime Kyushutsu Emaki
UAWJ,Kirby Bowl
UAXJ,Fire Emblem - Monsho no Nazo
UAYJ,Final Fight
UBAJ,Breath of Fire - Ryu no Senshi
UBBJ,Breath of Fire II - Shimei no Ko
UBCJ,Pop'n TwinBee
UBDJ,Kirby no Kirakira Kizzu
UBEJ,Fire Emblem - Thracia 776
UBFJ,Super Famicom Wars
UBGJ,Mario no Super Picross
UBHJ,Demon's Blazon - Makaimura Monsho-hen
UBJJ,Live A Live
UBKJ,Ganbare Goemon 2 - Kiteretsu Shogun Magginesu
UBLJ,Final Fantasy IV
UBMJ,Final Fantasy V
UBNJ,Final Fantasy VI
UBPJ,Romancing SaGa 2
UBQJ,Ganbare Goemon 3 - Shishijurokube no Karakuri Manji Gatame
UBRJ,Akumajo Dracula XX
